Sample,Actual Class,Predicted Class,Truth
388,1,0,False
389,0,0,True
390,0,0,True
391,0,0,True
392,0,0,True
393,0,0,True
394,0,0,True
395,0,0,True
396,0,0,True
397,0,0,True
398,1,0,False
399,0,0,True
400,0,0,True
401,0,0,True
402,0,0,True
403,0,0,True
404,0,0,True
405,0,0,True
406,0,0,True
407,0,0,True
408,0,0,True
409,0,0,True
410,0,0,True
411,0,0,True
412,0,0,True
413,0,0,True
414,0,0,True
415,0,0,True
416,0,0,True
417,0,0,True
418,0,0,True
419,0,0,True
420,0,0,True
421,0,0,True
422,0,0,True
423,0,0,True
424,0,0,True
425,0,0,True
426,0,0,True
427,1,1,True
428,0,0,True
429,0,0,True
430,0,0,True
431,0,0,True
432,0,0,True
433,0,0,True
434,0,0,True
435,0,0,True
436,0,0,True
437,1,0,False
438,0,0,True
439,0,0,True
440,0,0,True
441,1,0,False
442,0,0,True
443,0,0,True
444,0,0,True
445,0,0,True
446,0,0,True
447,0,0,True
448,0,0,True
449,0,0,True
450,0,0,True
451,1,0,False
452,0,0,True
453,0,0,True
454,0,0,True
455,0,0,True
456,0,0,True
457,0,0,True
458,0,0,True
459,0,0,True
460,0,0,True
461,0,0,True
462,0,0,True
463,0,0,True
464,0,1,False
465,0,0,True
466,0,0,True
467,0,0,True
468,0,0,True
469,0,0,True
470,0,1,False
471,0,0,True
472,0,0,True
473,0,0,True
474,0,0,True
475,0,0,True
476,0,0,True
477,0,0,True
478,0,0,True
479,0,0,True
480,0,0,True
481,0,0,True
482,0,0,True
483,0,0,True
484,0,0,True
485,0,0,True
486,0,0,True
487,0,0,True
488,0,0,True
489,0,0,True
490,1,0,False
491,0,0,True
492,0,0,True
493,0,0,True
494,0,0,True
495,0,0,True
496,0,0,True
497,0,0,True
498,0,0,True
499,0,0,True
500,0,0,True
501,0,0,True
502,0,1,False
503,0,0,True
504,0,0,True
505,0,0,True
506,0,0,True
507,0,0,True
508,0,0,True
509,0,0,True
510,0,0,True
511,0,0,True
512,0,0,True
513,0,0,True
514,0,0,True
515,0,0,True
516,0,0,True
517,0,0,True
518,0,0,True
519,0,0,True
520,0,0,True
521,0,0,True
522,0,0,True
523,0,0,True
524,0,0,True
525,0,0,True
526,0,0,True
527,0,0,True
528,0,0,True
529,0,0,True
530,0,0,True
531,0,0,True
532,0,0,True
533,0,0,True
534,0,0,True
535,0,0,True
536,0,0,True
537,0,0,True
538,0,0,True
539,0,0,True
540,0,0,True
541,0,0,True
542,0,0,True
543,0,0,True
544,0,0,True
545,0,0,True
546,0,0,True
547,0,0,True
548,0,0,True
549,0,0,True
550,0,0,True
551,0,0,True
552,0,0,True
553,0,0,True
554,0,0,True
555,0,0,True
556,0,0,True
557,0,0,True
558,0,0,True
559,0,0,True
560,0,0,True
561,0,0,True
562,1,0,False
563,0,0,True
564,0,0,True
565,0,0,True
566,0,0,True
567,0,0,True
568,0,0,True
569,0,0,True
570,0,0,True
571,0,0,True
572,0,0,True
573,0,0,True
574,0,0,True
575,0,0,True
576,0,0,True
577,0,0,True
578,0,0,True
579,0,0,True
580,0,0,True
581,0,0,True
582,0,0,True
583,0,1,False
584,0,0,True
585,0,0,True
586,0,0,True
587,0,0,True
588,0,0,True
589,0,0,True
590,0,0,True
591,0,0,True
592,1,0,False
593,0,0,True
594,0,0,True
595,0,0,True
596,0,0,True
597,0,0,True
598,0,0,True
599,0,0,True
600,0,0,True
601,0,0,True
602,0,0,True
603,0,0,True
604,0,0,True
605,0,0,True
606,0,0,True
607,0,0,True
608,0,0,True
609,1,1,True
610,0,0,True
611,1,1,True
612,0,0,True
613,0,0,True
614,0,0,True
615,0,0,True
616,0,0,True
617,0,0,True
618,0,0,True
619,0,0,True
620,0,0,True
621,0,0,True
622,0,0,True
623,0,0,True
624,0,0,True
625,0,0,True
626,0,0,True
627,0,0,True
628,0,0,True
629,0,0,True
630,0,0,True
631,0,0,True
632,0,0,True
633,0,0,True
634,0,0,True
635,0,0,True
636,1,0,False
637,0,0,True
638,0,1,False
639,0,0,True
640,0,0,True
641,1,0,False
642,0,0,True
643,0,0,True
644,0,0,True
645,0,0,True
646,0,0,True
647,0,0,True
648,0,0,True
649,0,0,True
650,0,0,True
651,0,0,True
652,0,0,True
653,0,0,True
654,0,0,True
655,0,0,True
656,0,0,True
657,0,0,True
658,0,0,True
659,0,0,True
660,1,0,False
661,0,0,True
662,0,0,True
663,0,0,True
664,0,0,True
665,0,0,True
666,0,0,True
667,1,0,False
668,0,0,True
669,0,0,True
670,0,0,True
671,0,0,True
672,0,0,True
673,0,0,True
674,0,0,True
675,0,0,True
676,0,0,True
677,0,0,True
678,0,0,True
679,0,0,True
680,0,0,True
681,0,0,True
682,0,0,True
683,0,0,True
684,0,0,True
685,0,1,False
686,0,0,True
687,0,0,True
688,0,0,True
689,0,0,True
690,0,0,True
691,0,0,True
692,0,0,True
693,0,0,True
694,0,0,True
695,0,0,True
696,0,0,True
697,0,0,True
698,0,1,False
699,0,0,True
700,0,0,True
701,0,0,True
702,0,0,True
703,0,0,True
704,0,0,True
705,0,0,True
706,0,0,True
707,0,0,True
708,0,0,True
709,1,0,False
710,0,0,True
711,0,0,True
712,0,0,True
713,1,0,False
714,0,0,True
715,0,0,True
716,0,0,True
717,0,0,True
718,0,0,True
719,0,0,True
720,0,0,True
721,0,0,True
722,0,0,True
723,0,0,True
724,0,0,True
725,0,0,True
726,0,0,True
727,0,0,True
728,0,0,True
729,0,0,True
730,0,0,True
731,0,0,True
732,0,0,True
733,0,0,True
734,0,0,True
735,0,0,True
736,0,0,True
737,0,0,True
738,0,0,True
739,0,0,True
740,0,0,True
741,0,0,True
742,0,0,True
743,0,0,True
744,0,0,True
745,0,0,True
746,0,0,True
747,0,0,True
748,0,0,True
749,0,0,True
750,0,0,True
751,0,0,True
752,0,0,True
753,1,0,False
754,0,0,True
755,0,0,True
756,0,0,True
757,0,0,True
758,0,0,True
759,0,0,True
760,0,0,True
761,0,0,True
762,0,0,True
763,0,0,True
764,0,0,True
765,0,0,True
766,0,0,True
767,0,0,True
768,0,0,True
769,0,0,True
770,0,0,True
771,0,0,True
772,0,0,True
773,0,0,True
774,0,0,True
775,0,0,True
776,0,0,True
777,1,0,False
778,0,0,True
779,0,0,True
780,0,0,True
781,0,0,True
782,0,0,True
783,0,0,True
784,0,1,False
785,0,0,True
786,0,0,True
787,1,0,False
788,0,0,True
789,0,0,True
790,0,0,True
791,0,0,True
792,0,0,True
793,0,0,True
794,0,0,True
795,1,1,True
796,0,0,True
797,0,0,True
798,0,0,True
799,0,0,True
800,0,0,True
801,0,0,True
802,0,0,True
803,0,0,True
804,0,0,True
805,0,0,True
806,0,0,True
807,0,0,True
808,0,0,True
809,0,0,True
810,0,0,True
811,1,1,True
812,0,0,True
813,0,1,False
814,0,0,True
815,0,0,True
816,0,0,True
817,0,0,True
818,0,0,True
819,0,0,True
820,0,0,True
821,0,0,True
822,0,0,True
823,0,0,True
824,0,0,True
825,0,0,True
826,0,0,True
827,0,0,True
828,0,0,True
829,0,0,True
830,0,0,True
831,0,0,True
832,0,0,True
833,0,0,True
834,0,0,True
835,0,0,True
836,0,0,True
837,0,0,True
838,0,0,True
839,0,0,True
840,0,0,True
841,0,0,True
842,0,0,True
843,0,0,True
844,0,0,True
845,0,0,True
846,0,0,True
847,0,0,True
848,0,0,True
849,0,0,True
850,0,0,True
851,0,0,True
852,0,0,True
853,0,0,True
854,0,0,True
855,0,0,True
856,0,0,True
857,0,0,True
858,0,0,True
859,0,0,True
860,0,0,True
861,0,0,True
862,0,0,True
863,0,0,True
864,0,0,True
865,0,0,True
866,0,0,True
867,0,0,True
868,0,0,True
869,0,0,True
870,0,0,True
871,0,0,True
872,0,0,True
873,1,0,False
874,0,1,False
875,0,0,True
876,0,0,True
877,0,0,True
878,0,0,True
879,0,0,True
880,0,0,True
881,0,0,True
882,0,0,True
883,0,0,True
884,0,0,True
885,0,0,True
886,0,0,True
887,0,0,True
888,1,0,False
889,0,0,True
890,0,0,True
891,0,0,True
892,0,0,True
893,0,0,True
894,0,0,True
895,0,0,True
896,0,0,True
897,1,1,True
898,0,0,True
899,0,0,True
900,0,0,True
901,0,0,True
902,0,0,True
903,0,0,True
904,0,0,True
905,0,0,True
906,0,0,True
907,0,0,True
908,0,0,True
909,0,0,True
910,0,0,True
911,0,0,True
912,0,0,True
913,0,0,True
914,0,0,True
915,1,0,False
916,0,0,True
917,0,0,True
918,0,0,True
919,0,0,True
920,0,0,True
921,0,0,True
922,0,0,True
923,0,0,True
924,0,0,True
925,0,0,True
926,0,0,True
927,0,0,True
928,0,0,True
929,0,0,True
930,0,0,True
931,0,0,True
932,0,0,True
933,0,0,True
934,0,1,False
935,0,0,True
936,0,0,True
937,0,0,True
938,0,0,True
939,0,0,True
940,0,0,True
941,0,1,False
942,0,0,True
943,0,0,True
944,0,0,True
945,0,0,True
946,0,0,True
947,0,0,True
948,0,0,True
949,0,0,True
950,0,0,True
951,0,0,True
952,0,0,True
953,0,0,True
954,0,0,True
955,0,0,True
956,0,0,True
957,0,0,True
958,0,0,True
959,0,0,True
960,0,0,True
961,0,0,True
962,0,0,True
963,0,0,True
964,0,0,True
965,0,0,True
966,0,0,True
967,0,1,False
968,0,0,True
969,0,0,True
970,0,0,True
971,0,0,True
972,0,0,True
973,0,0,True
974,0,0,True
975,0,0,True
976,0,0,True
977,0,0,True
978,0,0,True
979,0,0,True
980,0,0,True
981,0,0,True
982,0,0,True
983,0,0,True
984,0,0,True
985,0,0,True
986,0,0,True
987,0,0,True
988,0,0,True
989,0,0,True
990,0,0,True
991,0,0,True
992,0,0,True
993,0,0,True
994,0,0,True
995,0,0,True
996,0,0,True
997,0,0,True
998,0,0,True
999,0,0,True
1000,1,1,True
1001,0,0,True
1002,0,0,True
1003,0,0,True
1004,0,0,True
1005,0,0,True
1006,0,0,True
1007,0,0,True
1008,0,1,False
1009,0,0,True
1010,0,0,True
1011,0,0,True
1012,0,0,True
1013,0,0,True
1014,0,0,True
1015,0,0,True
1016,0,0,True
1017,0,0,True
1018,0,0,True
1019,0,0,True
1020,0,0,True
1021,0,0,True
1022,0,0,True
1023,0,0,True
1024,0,0,True
1025,0,0,True
1026,0,0,True
1027,0,0,True
1028,0,0,True
1029,0,0,True
1030,0,0,True
1031,0,0,True
1032,0,0,True
1033,0,0,True
1034,0,0,True
1035,0,0,True
1036,0,0,True
1037,0,0,True
1038,0,0,True
1039,0,0,True
1040,0,0,True
1041,0,0,True
1042,0,0,True
1043,0,0,True
1044,0,0,True
1045,0,0,True
1046,0,0,True
1047,0,0,True
1048,0,0,True
1049,0,0,True
1050,0,0,True
1051,0,0,True
1052,0,0,True
1053,0,0,True
1054,0,0,True
1055,0,0,True
1056,0,0,True
1057,0,0,True
1058,0,0,True
1059,0,1,False
1060,0,0,True
1061,0,0,True
1062,0,0,True
1063,0,0,True
1064,0,0,True
1065,0,0,True
1066,0,0,True
1067,0,0,True
1068,0,0,True
1069,0,0,True
1070,0,0,True
1071,0,0,True
1072,0,0,True
1073,0,0,True
1074,0,0,True
1075,0,0,True
1076,0,0,True
1077,0,0,True
1078,0,0,True
1079,0,0,True
1080,0,0,True
1081,0,0,True
1082,0,0,True
1083,0,0,True
1084,0,0,True
1085,0,0,True
1086,0,0,True
1087,0,0,True
1088,0,0,True
1089,0,0,True
1090,0,0,True
1091,0,0,True
1092,0,0,True
1093,0,0,True
1094,0,0,True
1095,0,0,True
1096,0,0,True
1097,0,0,True
1098,0,1,False
1099,0,0,True
1100,0,0,True
1101,0,1,False
1102,0,0,True
1103,1,0,False
1104,0,0,True
1105,0,0,True
1106,1,0,False
1107,0,0,True
1108,0,0,True
1109,0,0,True
1110,0,0,True
1111,0,0,True
1112,0,0,True
1113,0,0,True
1114,0,0,True
1115,0,0,True
1116,1,0,False
1117,0,0,True
1118,0,0,True
1119,0,0,True
1120,0,0,True
1121,1,0,False
1122,0,0,True
1123,1,0,False
1124,0,0,True
1125,0,0,True
1126,0,0,True
1127,0,0,True
1128,0,0,True
1129,0,0,True
1130,0,0,True
1131,0,0,True
1132,0,0,True
1133,0,0,True
1134,0,0,True
1135,0,0,True
1136,0,0,True
1137,0,0,True
1138,0,0,True
1139,0,0,True
1140,0,0,True
1141,0,0,True
1142,0,0,True
1143,0,0,True
1144,0,0,True
1145,0,0,True
1146,0,0,True
1147,0,0,True
1148,0,1,False
1149,0,0,True
1150,0,0,True
1151,0,0,True
1152,0,0,True
1153,0,0,True
1154,0,0,True
1155,0,0,True
1156,0,0,True
1157,0,0,True
1158,1,0,False
1159,0,0,True
1160,0,0,True
1161,0,0,True
1162,0,1,False
1163,0,0,True
1164,0,0,True
1165,0,0,True
1166,0,0,True
1167,0,0,True
1168,0,0,True
1169,0,0,True
1170,0,0,True
1171,1,0,False
1172,0,0,True
1173,0,0,True
1174,0,0,True
1175,0,0,True
1176,0,0,True
1177,0,0,True
1178,0,0,True
1179,0,0,True
1180,0,0,True
1181,0,0,True
1182,0,0,True
1183,0,0,True
1184,0,0,True
1185,0,0,True
1186,0,0,True
1187,0,0,True
1188,0,0,True
1189,0,0,True
1190,0,0,True
1191,0,0,True
1192,0,0,True
1193,0,0,True
1194,0,0,True
1195,0,0,True
1196,0,0,True
1197,0,0,True
1198,0,0,True
1199,0,0,True
1200,0,0,True
1201,0,0,True
1202,0,0,True
1203,0,0,True
1204,0,0,True
1205,0,0,True
1206,0,0,True
1207,0,0,True
1208,0,0,True
1209,0,0,True
1210,0,0,True
1211,0,0,True
1212,0,0,True
1213,0,0,True
1214,0,0,True
1215,0,0,True
1216,0,0,True
1217,0,0,True
1218,0,0,True
1219,0,0,True
1220,0,0,True
1221,0,0,True
1222,0,0,True
1223,0,0,True
1224,0,0,True
1225,0,0,True
1226,0,0,True
1227,0,0,True
1228,0,0,True
1229,0,0,True
1230,0,0,True
1231,0,0,True
1232,0,0,True
1233,0,0,True
1234,0,0,True
1235,0,0,True
1236,0,0,True
1237,0,0,True
1238,0,0,True
1239,0,0,True
1240,0,0,True
1241,1,0,False
1242,0,0,True
1243,0,0,True
1244,0,0,True
1245,0,0,True
1246,0,0,True
1247,0,0,True
1248,0,0,True
1249,0,1,False
1250,0,0,True
1251,0,0,True
1252,0,0,True
1253,0,0,True
1254,0,0,True
1255,0,0,True
1256,0,0,True
1257,0,0,True
1258,0,0,True
1259,0,0,True
1260,0,0,True
1261,0,0,True
1262,0,0,True
1263,0,0,True
1264,0,0,True
1265,0,0,True
1266,0,1,False
1267,0,0,True
1268,0,0,True
1269,0,0,True
1270,0,0,True
1271,0,0,True
1272,0,0,True
1273,0,0,True
1274,0,0,True
1275,0,0,True
1276,0,0,True
1277,0,0,True
1278,0,0,True
1279,0,0,True
1280,0,0,True
1281,1,0,False
1282,0,0,True
1283,0,0,True
1284,0,0,True
1285,0,0,True
1286,0,1,False
1287,0,0,True
1288,0,0,True
1289,0,0,True
1290,0,0,True
1291,0,0,True
1292,0,0,True
1293,0,0,True
1294,0,0,True
1295,0,0,True
1296,0,0,True
1297,0,0,True
1298,0,0,True
1299,0,0,True
1300,0,0,True
1301,0,0,True
1302,0,0,True
1303,1,0,False
1304,0,0,True
1305,0,0,True
1306,0,0,True
1307,0,0,True
1308,0,0,True
1309,0,0,True
1310,0,0,True
1311,0,0,True
1312,0,0,True
1313,0,0,True
1314,0,0,True
1315,0,0,True
1316,0,0,True
1317,0,0,True
1318,0,0,True
1319,0,0,True
1320,0,0,True
1321,0,0,True
1322,0,0,True
1323,0,0,True
1324,0,0,True
1325,0,0,True
1326,0,0,True
1327,0,0,True
1328,0,0,True
1329,0,0,True
1330,0,0,True
1331,0,0,True
1332,0,0,True
1333,0,0,True
1334,0,0,True
1335,1,1,True
1336,0,1,False
1337,0,0,True
1338,0,0,True
1339,0,0,True
1340,0,0,True
1341,0,0,True
1342,0,0,True
1343,0,0,True
1344,0,0,True
1345,0,0,True
1346,0,0,True
1347,0,0,True
1348,0,0,True
1349,0,0,True
1350,0,0,True
1351,0,1,False
1352,0,0,True
1353,0,0,True
1354,0,0,True
1355,0,0,True
1356,0,0,True
1357,0,0,True
1358,0,0,True
1359,0,0,True
1360,0,0,True
1361,0,0,True
1362,0,0,True
1363,0,0,True
1364,0,0,True
1365,0,0,True
1366,0,0,True
1367,0,0,True
1368,0,0,True
1369,0,0,True
1370,0,0,True
1371,0,0,True
1372,0,0,True
1373,0,0,True
1374,0,0,True
1375,0,0,True
1376,0,0,True
1377,0,0,True
1378,0,0,True
1379,0,0,True
1380,0,0,True
1381,0,0,True
1382,0,0,True
1383,0,0,True
1384,0,0,True
1385,0,0,True
1386,0,0,True
1387,0,0,True
1388,0,0,True
1389,0,0,True
1390,1,0,False
1391,0,0,True
1392,0,0,True
1393,0,0,True
1394,0,0,True
1395,0,0,True
1396,0,0,True
1397,0,0,True
1398,0,0,True
1399,0,0,True
1400,0,0,True
1401,0,0,True
1402,0,0,True
1403,0,0,True
1404,0,0,True
1405,0,0,True
1406,0,0,True
1407,0,0,True
1408,0,0,True
1409,0,0,True
1410,0,0,True
1411,0,0,True
1412,0,0,True
1413,0,0,True
1414,0,0,True
1415,0,0,True
1416,0,0,True
1417,0,0,True
1418,0,0,True
1419,0,0,True
1420,0,0,True
1421,0,0,True
1422,0,0,True
1423,0,0,True
1424,0,0,True
1425,0,0,True
1426,1,0,False
1427,0,0,True
1428,0,0,True
1429,0,0,True
1430,0,0,True
1431,0,0,True
1432,0,0,True
1433,0,0,True
1434,0,0,True
1435,0,0,True
1436,0,0,True
1437,0,1,False
1438,0,0,True
1439,0,0,True
1440,0,0,True
1441,0,0,True
1442,0,0,True
1443,0,0,True
1444,0,0,True
1445,0,1,False
1446,0,0,True
1447,0,0,True
1448,0,0,True
1449,0,0,True
1450,0,0,True
1451,0,0,True
1452,0,0,True
1453,0,0,True
1454,0,0,True
1455,0,0,True
1456,0,0,True
1457,0,0,True
1458,0,0,True
1459,0,0,True
1460,0,0,True
1461,0,0,True
1462,0,0,True
1463,0,0,True
1464,0,0,True
1465,0,0,True
1466,0,1,False
1467,0,0,True
1468,0,0,True
1469,0,0,True
1470,1,0,False
1471,0,0,True
1472,0,0,True
1473,0,0,True
1474,0,1,False
1475,0,0,True
1476,0,0,True
1477,0,0,True
1478,0,0,True
1479,0,0,True
1480,1,0,False
1481,0,0,True
1482,0,0,True
1483,0,0,True
1484,0,0,True
1485,0,0,True
1486,0,1,False
1487,0,0,True
1488,0,0,True
1489,0,0,True
1490,0,0,True
1491,1,0,False
1492,1,0,False
1493,0,0,True
1494,0,0,True
1495,0,0,True
1496,0,0,True
1497,0,0,True
1498,0,0,True
1499,0,0,True
1500,0,0,True
1501,0,0,True
1502,0,0,True
1503,0,0,True
1504,0,0,True
1505,0,0,True
1506,0,0,True
1507,0,0,True
1508,0,0,True
1509,0,0,True
1510,0,0,True
1511,0,0,True
1512,0,0,True
1513,0,0,True
1514,0,0,True
1515,0,0,True
1516,0,0,True
1517,0,0,True
1518,1,0,False
1519,0,0,True
1520,0,0,True
1521,0,0,True
1522,0,0,True
1523,0,0,True
1524,0,0,True
1525,0,0,True
1526,1,1,True
1527,0,0,True
1528,0,0,True
1529,0,0,True
1530,0,0,True
1531,0,0,True
1532,0,0,True
1533,0,0,True
1534,0,0,True
1535,1,0,False
1536,0,0,True
1537,1,0,False
1538,1,0,False
1539,0,0,True
1540,1,1,True
